ID,Cell,Case,Class,AngleCh1,AngleStatusCh1,AreaCh1,AreaStatusCh1,AvgIntenCh1,AvgIntenCh2,AvgIntenCh3,AvgIntenCh4,AvgIntenStatusCh1,AvgIntenStatusCh2,AvgIntenStatusCh3,AvgIntenStatusCh4,ConvexHullAreaRatioCh1,ConvexHullAreaRatioStatusCh1,ConvexHullPerimRatioCh1,ConvexHullPerimRatioStatusCh1,DiffIntenDensityCh1,DiffIntenDensityCh3,DiffIntenDensityCh4,DiffIntenDensityStatusCh1,DiffIntenDensityStatusCh3,DiffIntenDensityStatusCh4,EntropyIntenCh1,EntropyIntenCh3,EntropyIntenCh4,EntropyIntenStatusCh1,EntropyIntenStatusCh3,EntropyIntenStatusCh4,EqCircDiamCh1,EqCircDiamStatusCh1,EqEllipseLWRCh1,EqEllipseLWRStatusCh1,EqEllipseOblateVolCh1,EqEllipseOblateVolStatusCh1,EqEllipseProlateVolCh1,EqEllipseProlateVolStatusCh1,EqSphereAreaCh1,EqSphereAreaStatusCh1,EqSphereVolCh1,EqSphereVolStatusCh1,FiberAlign2Ch3,FiberAlign2Ch4,FiberAlign2StatusCh3,FiberAlign2StatusCh4,FiberLengthCh1,FiberLengthStatusCh1,FiberWidthCh1,FiberWidthStatusCh1,IntenCoocASMCh3,IntenCoocASMCh4,IntenCoocASMStatusCh3,IntenCoocASMStatusCh4,IntenCoocContrastCh3,IntenCoocContrastCh4,IntenCoocContrastStatusCh3,IntenCoocContrastStatusCh4,IntenCoocEntropyCh3,IntenCoocEntropyCh4,IntenCoocEntropyStatusCh3,IntenCoocEntropyStatusCh4,IntenCoocMaxCh3,IntenCoocMaxCh4,IntenCoocMaxStatusCh3,IntenCoocMaxStatusCh4,KurtIntenCh1,KurtIntenCh3,KurtIntenCh4,KurtIntenStatusCh1,KurtIntenStatusCh3,KurtIntenStatusCh4,LengthCh1,LengthStatusCh1,MemberAvgAvgIntenStatusCh2,MemberAvgTotalIntenStatusCh2,NeighborAvgDistCh1,NeighborAvgDistStatusCh1,NeighborMinDistCh1,NeighborMinDistStatusCh1,NeighborVarDistCh1,NeighborVarDistStatusCh1,PerimCh1,PerimStatusCh1,ShapeBFRCh1,ShapeBFRStatusCh1,ShapeLWRCh1,ShapeLWRStatusCh1,ShapeP2ACh1,ShapeP2AStatusCh1,SkewIntenCh1,SkewIntenCh3,SkewIntenCh4,SkewIntenStatusCh1,SkewIntenStatusCh3,SkewIntenStatusCh4,SpotFiberCountCh3,SpotFiberCountCh4,SpotFiberCountStatusCh3,SpotFiberCountStatusCh4,TotalIntenCh1,TotalIntenCh2,TotalIntenCh3,TotalIntenCh4,TotalIntenStatusCh1,TotalIntenStatusCh2,TotalIntenStatusCh3,TotalIntenStatusCh4,VarIntenCh1,VarIntenCh3,VarIntenCh4,VarIntenStatusCh1,VarIntenStatusCh3,VarIntenStatusCh4,WidthCh1,WidthStatusCh1,XCentroid,YCentroid
1,207827637,Test,PS,143.2477047346,1,185,0,15.7118644068,3.9548022599,9.5480225989,2.2146892655,0,2,2,2,1.124508519,0,0.9196827054,0,29.5192307692,13.7756410256,6.8269230769,2,2,2,4.9697808637,4.3710174423,2.7188836611,2,0,2,15.3695395798,0,3.0606760675,1,336.9691432969,0,110.0963107063,0,742.1156462585,0,1900.9959663294,0,0,0,2,2,26.9813246758,0,7.4103651565,2,0.0111838985,0.0504480053,0,0,40.7517772755,13.8954386686,1,1,7.1994575482,5.2497436397,0,0,0.0774193548,0.1719745223,0,0,-0.656744087,-0.6080582679,0.7258145461,0,0,0,26.2077874658,0,0,0,370.4542989052,1,99.1034927113,1,127.9608006332,0,68.7833796646,0,0.6651479513,0,2.4624497529,0,1.8830060161,0,0.4545048382,0.4603934035,1.2327736012,0,0,0,1,4,0,0,2781,700,1690,392,0,2,0,2,12.474676062,7.6090348497,2.714099832,0,2,2,10.6429735002,2,42,14
2,207932307,Train,PS,133.7520367384,0,819,1,31.9232736573,205.878516624,69.9168797954,164.1534526854,0,0,0,0,1.2631578947,1,0.7970801366,2,31.875,43.1222826087,79.308423913,0,0,0,6.0875921918,6.6427606525,7.8801547181,0,1,1,32.3055843481,1,1.5583941918,0,2232.9054845988,1,1432.8245680155,1,3278.7256235828,1,17653.5245311406,1,0.487935411,0.3523742467,0,0,64.2823016059,1,13.1670790598,0,0.0280510613,0.012594975,0,0,8.2279529456,6.9840456661,0,0,6.8221375836,7.0989884282,0,0,0.1532147743,0.073871409,0,0,-0.2487690673,-0.3307838996,-0.2652637863,0,0,0,47.218548014,1,0,0,174.4441571066,2,30.111141443,0,81.3806327515,2,154.8987613314,1,0.5397583668,2,1.4681808533,0,2.255810381,0,0.3987046745,0.6197307856,0.5272631286,0,0,0,4,11,1,1,24964,160997,54675,128368,0,1,1,1,18.8092251819,56.7153524052,118.3881387147,0,0,0,32.161261269,1,215,347
3,207932463,Train,WS,106.6463872696,0,431,0,28.0388349515,115.3155339806,63.9417475728,106.6966019417,0,0,0,0,1.0533099004,0,0.9354749533,0,32.4877102199,35.9857697283,51.3570504528,0,0,0,5.883556549,6.6830000288,7.1446011687,0,1,0,23.4489193276,0,1.375386188,0,802.1945439369,0,583.2503997171,0,1727.410430839,0,6750.9846397378,0,0.300521979,0.5223158239,0,0,21.141149578,0,21.141149578,1,0.0068623153,0.0061416911,0,0,14.4460737716,16.7008434864,0,1,7.5801002386,7.6714782186,1,1,0.0283505155,0.0231958763,2,2,-0.29348463,1.0512813359,0.1506140057,0,0,0,28.1430314458,0,0,0,158.4773770316,2,34.944765292,0,90.4376825503,2,84.5645983118,0,0.724311593,1,1.328408488,0,1.2721926523,0,0.4724870871,0.971378787,0.324706504,0,0,0,2,6,0,0,11552,47510,26344,43959,0,0,0,0,17.2956430509,37.6710533054,49.4705236166,0,0,0,21.1855251611,0,371,252
4,207932470,Train,PS,69.1503248055,0,298,0,19.4561403509,101.2947368421,28.2175438596,31.0280701754,0,0,0,2,1.2026251025,0,0.865829114,2,26.7322834646,22.9173228346,26.3937007874,2,0,2,5.4200649317,5.4367316892,5.7783294812,2,0,0,19.5027859614,0,3.3912202185,1,724.7143099923,0,213.7031107653,0,1194.9319727891,0,3884.0837506217,0,0.2204239009,0.7332504438,0,1,43.1411228334,0,7.4044124157,2,0.0309620713,0.0110331951,0,0,7.2994573643,13.3908837209,0,1,6.3126409921,7.1970260987,0,0,0.1627906977,0.0775193798,0,0,0.6258561242,0.1277406065,-0.3472936453,0,0,0,37.8595737382,0,0,0,206.3343687162,0,33.080298101,0,116.8927570279,0,101.091070498,0,0.5891625446,0,2.8268539991,1,2.545840018,1,0.8816713835,0.9998927984,0.6044398755,1,0,0,4,7,1,0,5545,28869,8042,8843,0,0,0,2,13.81896761,30.0056434622,24.7495366208,0,0,2,13.3928295377,0,487,295
5,207932455,Test,PS,2.8878372952,2,285,0,24.2757352941,111.4154411765,20.4742647059,40.5772058824,0,0,0,0,1.1093333333,0,0.9568124152,0,31.5806451613,21.7096774194,25.0322580645,0,0,2,5.6582484513,5.2856705157,5.2358573254,2,0,0,19.052794204,0,2.7413798963,0,607.5185150602,0,221.6104801366,0,1140.4263038549,0,3621.3846120346,0,0.4913869119,0.3845471471,0,0,34.7497743921,0,8.483574385,2,0.0227684106,0.0796908416,0,0,15.8546910382,3.5388951338,0,2,6.7780926432,5.5021661713,0,0,0.1274131274,0.2784810127,0,0,0.0421068432,0.9522900264,-0.1954187725,0,0,0,35.9941495802,0,0,0,204.9212789615,0,27.0293470307,0,110.9666246285,0,86.4666975542,0,0.6001346955,0,2.7271268243,1,2.0181546614,0,0.5170272279,1.1767533699,0.9258122932,0,0,0,1,7,0,0,6603,30305,5569,11037,0,0,0,0,15.4079715633,20.5042875585,45.4504569752,0,0,0,13.1985609397,0,283,159
6,207827656,Test,WS,40.7482976023,2,172,0,325.9333333333,652.6060606061,128.6909090909,346.8545454545,1,1,1,1,1.0058309038,0,0.992636296,1,92.5629139073,61.9271523179,145.7086092715,1,1,1,6.9981107748,6.8055384263,7.1193228961,0,1,0,14.8393950487,2,1.0397259408,0,176.7693262141,0,170.0153081491,0,691.8027210884,0,1710.9889789992,0,0.3095039181,0.3621912551,0,0,12.3841986986,0,12.3841986986,0,0.0089140827,0.0091553002,0,0,8.2483443709,9.8675496689,0,0,7.0163330943,6.967390316,0,0,0.0198675497,0.0198675497,2,2,-0.1968413692,-0.8607993673,-0.405066941,0,0,0,16.2049382823,2,0,0,231.9932555027,0,15.9267384524,0,95.9695189759,0,49.5367947944,0,0.6869375241,0,1.0430130169,0,1.0862778231,0,-0.7025952606,0.1532023308,0.6511667266,2,2,0,1,4,0,0,53779,107680,21234,57231,1,1,0,0,115.0046182648,70.9184438276,184.69290661,1,0,0,15.5366596763,0,191,127
7,207827659,Test,WS,173.9578329556,1,177,0,260.0591715976,595.4201183432,123.8402366864,273.2958579882,1,1,1,0,1.0141643059,0,0.9840211041,1,89.2265372168,47.8155339806,139.2912621359,1,0,1,6.8962391255,6.6608874243,7.0324494806,0,1,0,15.0181893906,2,1.088583037,0,187.4918475388,0,172.2347686613,0,708.5736961451,0,1773.5823276542,0,0.2449734824,0.5452252299,0,0,12.5962365936,0,12.5962365936,0,0.0081664385,0.0083119845,0,0,12.8811269376,17.4093422706,0,1,7.1721198461,7.1423475531,0,0,0.0194805195,0.0194805195,2,2,0.250897694,-0.5983146434,-0.8256695624,0,0,0,15.9184286256,2,0,0,230.2935450546,0,15.9267384524,0,94.8130712012,0,50.3849463745,0,0.746843548,1,1.068328926,0,1.0919584761,0,-0.8160607596,-0.224481857,0.1023062093,2,2,0,0,4,2,0,43950,100626,20929,46187,0,1,0,0,93.3882716394,47.2936618588,124.4753060537,1,0,0,14.900306673,0,180,138
8,207827661,Test,PS,179.8004666121,1,251,0,18.3375,4.7291666667,17.2333333333,1.5541666667,0,2,0,2,1.2003891051,0,0.8310553996,2,28.6179245283,19.2216981132,5.3820754717,2,0,2,5.3180700008,5.0856427072,2.2958040713,2,0,2,17.8969838154,0,2.8664150238,0,514.8822837241,0,179.6258669624,0,1006.2585034014,0,3001.4986915827,0,0,0,2,2,37.8486340283,0,7.1173978603,2,0.0061163001,0.1273266863,0,0,32.7021783148,8.8337338406,1,0,7.5579443076,4.1778760131,1,2,0.0164319249,0.3412322275,2,1,0.1129695067,-0.7486396933,2.0335592531,0,0,0,29.7081232709,0,0,0,218.2643717737,0,29.3174431296,0,105.7688067563,0,89.9320637772,0,0.6858659103,0,2.4062463061,0,2.3891599634,1,0.6655039399,0.0114293804,1.61200785,0,2,1,2,7,0,0,4401,1135,4136,373,0,2,0,2,12.4126384685,9.8722956916,2.3015355683,0,2,2,12.3462520005,2,373,181
9,207932479,Test,WS,18.9364197681,2,495,0,16.0528541226,88.4820295983,13.7167019027,51.4270613108,0,0,0,0,1.1923076923,0,0.821960124,2,26.984036488,15.0661345496,36.1174458381,2,2,0,5.1892034966,4.4938514418,6.2811886096,2,0,0,25.1249262058,0,1.5066838813,0,1032.8192708159,0,685.4916838563,0,1983.1678004535,0,8304.4907733445,0,0.3552462703,0.4562716663,0,0,44.1477314724,0,11.7288892907,0,0.0896005351,0.0192219405,0,0,9.9436472852,9.5686628875,0,0,5.7117822472,6.9608139804,0,0,0.295194508,0.1121281465,0,0,-0.2192085635,1.8848251469,-0.7610116787,0,0,0,32.3744598227,0,0,0,235.0062092254,0,38.4303784906,0,79.5816122314,2,111.7532415262,0,0.6318209882,0,1.3356714376,0,1.9192985782,0,0.5967436438,1.5173834897,0.4218934348,0,0,0,1,11,0,1,7593,41852,6488,24325,0,0,0,0,11.7925764665,17.9230229805,42.8378557966,0,0,0,24.2383410413,1,236,467
10,207932480,Test,WS,153.2524268297,1,384,0,17.7438692098,88.931880109,20.4441416894,63.1117166213,0,0,0,0,1.1603650587,0,0.8649791729,2,25.7603550296,18.2307692308,38.0591715976,2,0,0,5.334972565,5.3204249297,6.7403864279,2,0,0,22.131316885,0,1.7550001476,0,761.8320256748,0,434.0922858235,0,1538.7369614513,0,5675.7125494352,0,0.7624198912,0.6595663874,1,1,37.2444662576,0,10.7929942024,0,0.0122779173,0.0080287406,0,0,18.1397233894,12.3306372549,1,1,7.3095122148,7.4069006513,1,1,0.0863095238,0.0470588235,0,0,0.1445549129,-0.568119984,0.191843091,0,0,0,31.1358851883,0,0,0,220.1542288322,0,36.1826510964,0,73.8506384381,2,96.0749209201,0,0.6738026658,0,1.6980511356,0,1.8272750958,0,0.5868176222,0.4082542159,0.6756981385,0,0,0,1,7,0,0,6512,32638,7503,23162,0,0,0,0,11.4665636065,14.8665823988,42.296424428,0,2,2,18.3362470871,0,303,468
