,PredictorA,PredictorB,x
1,0.1582,0.1609,Class2
2,0.6552,0.4918,Class2
3,0.706,0.6333,Class2
4,0.1992,0.0881,Class2
5,0.3952,0.4152,Class2
6,0.425,0.2988,Class2
7,0.0658,0.1786,Class2
8,0.3086,0.2802,Class2
9,0.1654,0.1156,Class2
10,0.1056,0.0801,Class2
11,0.0996,0.0492,Class2
12,0.0847,0.0548,Class2
13,0.1215,0.1097,Class2
14,0.2547,0.1896,Class2
15,0.1901,0.164,Class2
16,0.3645,0.2476,Class2
17,0.2237,0.2328,Class2
18,0.1601,0.1237,Class2
19,0.137,0.1675,Class2
20,0.5419,0.5832,Class2
21,0.2909,0.3021,Class2
22,0.4129,0.2869,Class2
23,0.1892,0.1456,Class2
24,0.0622,0.074,Class2
25,0.0472,0.0414,Class2
26,0.0942,0.0841,Class2
27,0.1518,0.0847,Class2
28,0.3476,0.168,Class2
29,0.3282,0.3376,Class2
30,0.371,0.2607,Class2
31,0.2434,0.1934,Class2
32,0.1167,0.197,Class2
33,0.0639,0.0728,Class2
34,0.2375,0.1109,Class2
35,0.2555,0.1767,Class2
36,0.1785,0.2327,Class2
37,0.0273,0.1303,Class2
38,0.0522,0.1475,Class2
39,0.052,0.1152,Class2
40,0.0898,0.1579,Class2
41,0.0922,0.1606,Class2
42,0.1599,0.0888,Class2
43,0.1935,0.0869,Class2
44,0.3738,0.2132,Class2
45,0.0861,0.0891,Class2
46,0.3332,0.2459,Class2
47,0.294,0.3336,Class2
48,0.2565,0.1564,Class2
49,0.3473,0.1459,Class2
50,0.372,0.2143,Class2
51,0.0979,0.1078,Class2
52,0.0844,0.075,Class2
53,0.1862,0.1315,Class2
54,0.1209,0.0528,Class2
55,0.1475,0.1445,Class2
56,0.1387,0.1742,Class2
57,0.2115,0.1911,Class2
58,0.078,0.1564,Class2
59,0.0948,0.1442,Class2
60,0.05,0.0888,Class2
61,0.11,0.1532,Class2
62,0.1112,0.1576,Class2
63,0.1101,0.0775,Class2
64,0.0909,0.0978,Class2
65,0.1554,0.0289,Class2
66,0.1854,0.0526,Class2
67,0.206,0.0327,Class2
68,0.2545,0.0906,Class2
69,0.1322,0.1522,Class2
70,0.1102,0.1203,Class2
71,0.0827,0.0937,Class2
72,0.1245,0.0937,Class2
73,0.1179,0.1063,Class2
74,0.0828,0.1261,Class2
75,0.0501,0.0972,Class2
76,0.0269,0.0843,Class2
77,0.0259,0.0938,Class2
78,0.0689,0.0357,Class2
79,0.1382,0.0575,Class2
80,0.1412,0.1106,Class2
81,0.3358,0.2709,Class2
82,0.3565,0.3242,Class2
83,0.3323,0.2373,Class2
84,0.4113,0.4079,Class2
85,0.3118,0.3135,Class2
86,0.0387,0.3042,Class2
87,0.1523,0.2139,Class2
88,0.0946,0.2707,Class2
89,0.0906,0.2366,Class2
90,0.0837,0.2974,Class2
91,0.1207,0.3015,Class2
92,0.3223,0.2653,Class2
93,0.2187,0.103,Class2
94,0.3259,0.2693,Class2
95,0.225,0.0994,Class2
96,0.0794,0.0942,Class2
97,0.0671,0.0904,Class2
98,0.2497,0.0947,Class1
99,0.2259,0.2907,Class1
100,0.2615,0.2251,Class1
101,0.5205,0.5466,Class1
102,0.5771,0.5533,Class1
103,0.4257,0.3208,Class1
